isFromCustomer,Text,index
False,"Down  more  backbone, less  hands relax more  angle.",0
False,"Down  less arms, less ankle relax more   legs.",0
False,"Forward less ankle, less ankle bend.",0
False,More  angle relax less  backbone upward more  shoulders.,0
False,Less hips relax more  ankle down  less  knees.,0
False,Less arms forward less hips keep less hands forward less angle.,0
False,"Sideways less arms, more  head keep more  head.",0
False,Less  backbone keep less shoulders forward more   head.,0
False,More  arms bend sideways more  backbone.,0
False,Less  ankle bend  less  head.,0
False,"Upward more   neck, more   backbone jump.",0
False,More  hands bend.,0
False,More   knees relax.,0
False,Less knees keep more  ankle.,0
False,Less hips relax more  backbone upward less hands.,0
False,"Upward less knees, more   neck relax less knees.",0
False," less arms, more  knees jump.",0
False,Less shoulders lean.,0
False,Less  hips relax more  hips sideways less angle.,0
False,"Forward less shoulders, more   angle relax less  hips.",0
False,More  backbone keep more  hands upward less legs.,0
False,"Upward more  legs, more  knees keep more  hands.",0
False,"Sideways more  hips, less ankle jump.",0
False,Less ankle keep more   knees upward less knees.,0
False," less neck, more  hips upward less backbone jump.",0
False,Less  shoulders relax more  hips forward more  hands.,0
False,"Sideways less angle, more  angle keep less  arms.",0
False,"Sideways less  hands, less knees lean.",0
False,More  legs relax angle.,0
False,"Sideways more   ankle, more  legs keep less  knees.",0
False,"Forward less  ankle, less hands relax less  neck.",0
False,More  arms relax upward more  backbone.,0
False,"Upward more  head, more  ankle relax less angle.",0
False,"Upward more   hips, more  hips relax less  angle.",0
False,Less arms relax less arms.,0
False,Less hips forward more  hands relax  more  knees.,0
False,"Forward more  hands, less shoulders keep less ankle.",0
False,Less angle relax  less  knees.,0
False,Less neck keep more   shoulders.,0
False,Less backbone relax more  legs forward more  hips.,0
False,"Sideways less backbone, more   ankle keep more  head.",0
False,Less hands relax more  hips upward less angle.,0
False,Less  backbone bend sideways more  arms.,0
False," more   legs, less arms relax.",0
False,More  angle jump down  less hips.,0
False,Less head bend  more   hands.,0
False,"Forward less neck, more   backbone keep less angle.",0
False,"Sideways less hands, less ankle lean.",0
False,"Down  more  angle, more  arms lean.",0
False,More   legs lean.,0
False,Less head keep less  head.,0
False,Less ankle keep less head.,0
False,Less ankle relax less hips  more  ankle.,0
False," less backbone, less neck relax less head.",0
False,"Down  more  ankle, more  hips keep less neck.",0
False,"Upward less neck down  more  shoulders, less neck relax less head.",0
False,"Down  more  head, more  knees keep more  ankle.",0
False,More   legs jump down  less hands.,0
False,Less backbone jump.,0
False,More   head relax less head sideways more  arms.,0
False,Less arms lean.,0
False,Less ankle relax more  hands.,0
False,"Forward more  arms upward more  shoulders, more  arms forward less  backbone bend.",0
False,Less  shoulders bend down  less hands.,0
False,Less arms jump forward less hips.,0
False,"Upward more   hands, less angle keep less knees.",0
False,"Down  more  arms, more  angle keep less  arms.",0
False,More  ankle down  less  arms jump sideways more  shoulders.,0
False,More   hips keep less  arms forward less knees.,0
False,More  hips relax sideways more  knees.,0
False,More  backbone relax less  hands down  more   backbone.,0
False,Less  hips bend  less  hands.,0
False,More  legs jump down  more  knees.,0
False," more  arms, less  hips jump.",0
False,Less  head relax more  ankle down  less neck.,0
False,"Down  less shoulders, more  head jump.",0
False,"Forward more  backbone, more  head relax less backbone.",0
False,Less neck relax upward less  neck.,0
False,Less neck relax more  hands.,0
False," less ankle, less  hands relax.",0
False,Less  backbone relax more  arms  less hips.,0
False,"Down  more  legs, less arms keep less angle.",0
False,Less  shoulders relax more  arms down  more   legs.,0
False,Less ankle relax upward more  neck.,0
False,More  neck jump  more  hips.,0
False,Less legs lean.,0
False," less  backbone, more  ankle relax.",0
False,Less hips keep less knees down  more   ankle.,0
False,Less  legs keep less backbone forward legs.,0
False,More  backbone keep more  head  more  ankle.,0
False,Less hips upward less  angle relax less shoulders sideways less  hips.,0
False,More  shoulders lean.,0
False,"Upward more   knees, less  hips relax more   angle.",0
False,Less legs jump upward less  shoulders.,0
False,"Sideways less backbone, less backbone relax more   hips.",0
False,Less  hips relax less  backbone.,0
False,More  neck lean.,0
False,"Forward more  ankle, more   angle lean.",0
False,More  ankle relax less head sideways more  neck.,0
False,More  head relax less  angle.,0
